phone_ownership,phone_ownership_response,phone_cost,state_phone,state_phone_response,brand_phone,brand_phone_response,gender,gender_response,age,ethnicity,education,education_response,employment_status,income,family_size,treatment,WTP,WTP_response,WTP_per,protest_flag,emotional_attachment
Bought outright,,988,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,Prefer not to say,None,gov,14.0,,0.014,False,12
Bought outright,,503,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,Not in employment,Prefer not to say,None,env,51.0,,0.101,False,7
Bought outright,,540,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,cont,55.0,,0.102,False,16
Bought on contract - fully paid,,0,Brand New,,Samsung (Galaxy),,Female,,45 - 54,White,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",None,env,51.0,,0.0,False,5
Bought on contract - fully paid,,245,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time education,"£30,000 to £39,999",None,cont,50.0,,0.204,False,11
Bought on contract - fully paid,,930,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,Not sure,None,gov,116.0,,0.125,False,6
Bought outright,,286,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,Self employed,"£30,000 to £39,999",None,cont,101.0,,0.353,False,9
Bought outright,,373,Brand New,,Samsung (Galaxy),,Male,,35 - 44,BAME,Doctoral degree,,Self employed,"£50,000 to £59,999",None,env,49.0,,0.131,False,7
Bought outright,,400,Brand New,,Apple (iPhone),,Female,,45 - 54,BAME,Master's degree,,In part-time employment,"£30,000 to £39,999",2,gov,106.0,,0.265,False,9
Bought outright,,605,Brand New,,"Other, please specify",One Plus,Male,,35 - 44,BAME,Master's degree,,In full-time employment,"£80,000 to £89,999",None,gov,65.0,,0.107,False,15
Bought on contract - fully paid,,325,Brand New,,Apple (iPhone),,Male,,55 - 64,White,Master's degree,,In full-time employment,Not sure,None,cont,120.0,,0.369,False,9
Bought outright,,845,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Master's degree,,In full-time employment,"£40,000 to £49,999",1,env,221.0,,0.262,False,16
Bought outright,,800,Brand New,,Apple (iPhone),,Male,,25 - 34,BAME,Doctoral degree,,In full-time education,"Less than £10,000",None,gov,200.0,,0.25,False,11
Bought outright,,815,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,env,107.0,,0.131,False,14
Bought on contract - fully paid,,605,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,cont,100.0,,0.165,False,7
Bought outright,,659,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,gov,152.0,,0.231,False,10
Bought outright,,720,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,Not in employment,Prefer not to say,None,cont,100.0,,0.139,False,12
Bought outright,,51,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Female,,25 - 34,BAME,Undergraduate degree,,In full-time education,"Less than £10,000",None,cont,20.0,,0.392,False,14
Bought on contract - fully paid,,638,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,61.0,,0.096,False,13
Bought outright,,449,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"Less than £10,000",None,gov,51.0,,0.114,False,14
Bought outright,,162,Brand New,,Apple (iPhone),,Female,,45 - 54,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£20,000 to £29,999",1,gov,37.0,,0.228,False,16
"Other, please specify",Free device with 24 month contract,0,Brand New,,"Other, please specify",Sony,Female,,45 - 54,White,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time employment,"£30,000 to £39,999",None,env,50.0,,0.0,False,5
Bought on contract - fully paid,,300,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None,cont,50.0,,0.167,False,7
Bought on contract - fully paid,,800,Brand New,,Apple (iPhone),,Female,,35 - 44,BAME,Undergraduate degree,,In full-time employment,"£90,000 to £99,999",None,env,215.0,,0.269,False,14
Bought outright,,163,Brand New,,"Other, please specify",Motorola Moto G5,Male,,45 - 54,White,Master's degree,,Self employed,"£80,000 to £89,999",None,gov,40.0,,0.245,False,6
"Other, please specify",Hand-me-down,406,"Other, please specify",Given by partner,Samsung (Galaxy),,Female,,35 - 44,White,Master's degree,,Self employed,Prefer not to say,1,cont,155.0,,0.382,False,8
Bought outright,,851,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,"Other, please specify",Completing doctorate,In full-time education,"£10,000 to £19,999",None,env,100.0,,0.118,False,8
Bought outright,,195,Brand New,,"Other, please specify",motorola,Male,,55 - 64,White,Master's degree,,Self employed,"£30,000 to £39,999",None,gov,57.0,,0.292,False,9
Bought outright,,204,Brand New,,"Other, please specify",Mi A2 Lite,Male,,35 - 44,White,Master's degree,,In full-time employment,"£100,000 to £149,999",1,gov,101.0,,0.495,False,4
Bought outright,,307,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£50,000 to £59,999",None,cont,20.0,,0.065,False,7
"Other, please specify",Supplied by employer ,0,Brand New,,Apple (iPhone),,Male,,35 - 44,White,Doctoral degree,,In full-time employment,"£60,000 to £69,999",1,cont,100.0,,0.0,False,6
Bought outright,,80,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£40,000 to £49,999",None,gov,44.0,,0.55,False,12
Bought outright,,270,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Female,,45 - 54,White,Master's degree,,In part-time employment,"£40,000 to £49,999",2,env,100.0,,0.37,False,12
Bought outright,,665,Brand New,,"Other, please specify",Sony,Female,,25 - 34,BAME,Master's degree,,In full-time employment,"£150,000 or more",2,gov,155.0,,0.233,False,11
Bought on contract - fully paid,,650,Brand New,,Apple (iPhone),,Female,,25 - 34,White,Master's degree,,In full-time employment,"£60,000 to £69,999",None,cont,100.0,,0.154,False,12
"Other, please specify",Second hand - old phone of a friend,0,"Other, please specify",I did not purchase my phone,Apple (iPhone),,Male,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,env,201.0,,0.0,False,9
Bought outright,,701,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,env,60.0,,0.086,False,9
